home_team,away_team,home_score,home_penalty,away_score,away_penalty,home_manager,home_captain,away_manager,away_captain,Attendance,Venue,Round,Date,Referee,Host,Year
Germany,Spain,1,,1,,Berti Vogts,Lothar Matthäus,Javier Clemente,Andoni Zubizarreta,63113,Soldier Field- Chicago,Group stage,34506,Ernesto Filippi,United States,1994
Nigeria,Bulgaria,3,,0,,Clemens Westerhof,Peter Rufai,Dimitar Penev,Borislav Mikhailov,44132,Cotton Bowl- Dallas,Group stage,34506,Rodrigo Badilla,United States,1994
Brazil,Russia,2,,0,,Carlos Alberto Parreira,Raí,Pavel Sadyrin,Dmitri Kharine,81061,Stanford Stadium- San Francisco,Group stage,34505,An Yan Lim Kee Chong,United States,1994
Netherlands,Saudi Arabia,2,,1,,Dick Advocaat,Ronald Koeman,Jorge Solari,Majed Abdullah,50535,RFK Stadium- Washington Dc,Group stage,34505,Manuel Diaz Vega,United States,1994
Belgium,Morocco,1,,0,,Paul Van Himst,Georges Grün,Abdellah Blinda,Mustafa El Haddaoui,61219,Citrus Bowl- Orlando,Group stage,34504,Jose Joaquin Torres Cadena,United States,1994
Norway,Mexico,1,,0,,Egil Olsen,Rune Bratseth,Miguel Mejia Baron,Ignacio Ambríz,52395,RFK Stadium- Washington Dc,Group stage,34504,Sandor Puhl,United States,1994
Cameroon,Sweden,2,,2,,Henri Michel,Stephen Tataw,Tommy Svensson,Jonas Thern,93194,Rose Bowl- Los Angeles,Group stage,34504,Alberto Tejada Noriega,United States,1994
United States,Switzerland,1,,1,,Bora Milutinovic,Tony Meola,Roy Hodgson,Alain Geiger,73425,Pontiac Silverdome- Detroit,Group stage,34503,Francisco Oscar Lamolina,United States,1994
Italy,Republic of Ireland,0,,1,,Arrigo Sacchi,Franco Baresi,Jack Charlton,Andy Townsend,75338,Giants Stadium- New York/New Jersey,Group stage,34503,Mario Van Der Ende,United States,1994
Colombia,Romania,1,,3,,Francisco Maturana,Carlos Valderrama,Anghel Iordanescu,Gheorghe Hagi,91856,Rose Bowl- Los Angeles,Group stage,34503,Jamal Al Sharif,United States,1994
Germany,Bolivia,1,,0,,Berti Vogts,Lothar Matthäus,Xavier Azkargorta Uriarte,Carlos Fernando Borja,63117,Soldier Field- Chicago,Group stage,34502,Arturo Brizio Carter,United States,1994
Spain,Korea Republic,2,,2,,Javier Clemente,Miguel Ángel Nadal,Ho Kon Kim,Choi In-young,56247,Cotton Bowl- Dallas,Group stage,34502,Peter Mikkelsen,United States,1994
Germany,Argentina,1,,0,,Franz Beckenbauer,Lothar Matthäus,Carlos Bilardo,Diego Maradona,73603,Stadio Olimpico- Rome,Final,33062,Edgardo Codesal Mendez,Italy,1990
Italy,England,2,,1,,Azeglio Vicini,Giuseppe Bergomi,Bobby Robson,Peter Shilton,51426,Stadio San Nicola- Bari,Third-place match,33061,Joel Quiniou,Italy,1990
Germany,England,1,4,1,3,Franz Beckenbauer,Lothar Matthäus,Bobby Robson,Terry Butcher,62628,Stadio delle Alpi- Turin,Semi-finals,33058,Jose Ramiz Wright,Italy,1990
Italy,Argentina,1,3,1,4,Azeglio Vicini,Giuseppe Bergomi,Carlos Bilardo,Diego Maradona,59978,San Paolo- Naples,Semi-finals,33057,Michel Vautrot,Italy,1990
Germany,Czechoslovakia,1,,0,,Franz Beckenbauer,Lothar Matthäus,Jozef Venglos,Ivan Hašek,73347,Giuseppe Meazza- Milan,Quarter-finals,33055,Helmut Kohl,Italy,1990
England,Cameroon,3,,2,,Bobby Robson,Terry Butcher,Valeri Nepomnyashchi,Stephen Tataw,55205,San Paolo- Naples,Quarter-finals,33055,Edgardo Codesal Mendez,Italy,1990
Yugoslavia,Argentina,0,2,0,3,Ivica Osim,Zlatko Vujović,Carlos Bilardo,Diego Maradona,38971,Comunale- Florence,Quarter-finals,33054,Kurt Roethlisberger,Italy,1990
Italy,Republic of Ireland,1,,0,,Azeglio Vicini,Giuseppe Bergomi,Jack Charlton,Mick McCarthy,73303,Stadio Olimpico- Rome,Quarter-finals,33054,Carlos Alberto Silva Valente,Italy,1990
Spain,Yugoslavia,1,,2,,Luis Suarez,Emilio Butragueño,Ivica Osim,Zlatko Vujović,35500,Marc Antonio Bentegodi- Verona,Round of 16,33050,Aron Schmidhuber,Italy,1990
England,Belgium,1,,0,,Bobby Robson,Terry Butcher,Guy Thys,Jan Ceulemans,34520,Renato Dall Ara- Bologna,Round of 16,33050,Peter Mikkelsen,Italy,1990
Republic of Ireland,Romania,0,5,0,4,Jack Charlton,Paul McGrath,Emerich Jenei,Silviu Lung,31818,Luigi Ferraris- Genoa,Round of 16,33049,Jose Ramiz Wright,Italy,1990
Italy,Uruguay,2,,0,,Azeglio Vicini,Giuseppe Bergomi,Oscar Tabarez,Enzo Francescoli,73303,Stadio Olimpico- Rome,Round of 16,33049,George Courtney,Italy,1990
Brazil,Argentina,0,,1,,Sebastiao Lazaroni,Ricardo Gomes,Carlos Bilardo,Diego Maradona,61381,Stadio delle Alpi- Turin,Round of 16,33048,Joel Quiniou,Italy,1990
Germany,Netherlands,2,,1,,Franz Beckenbauer,Lothar Matthäus,Leo Beenhakker,Ruud Gullit,74559,Giuseppe Meazza- Milan,Round of 16,33048,Juan Loustau,Italy,1990
Cameroon,Colombia,2,,1,,Valeri Nepomnyashchi,Stephen Tataw,Francisco Maturana,Carlos Valderrama,50026,San Paolo- Naples,Round of 16,33047,Tullio Lanese,Italy,1990
Czechoslovakia,Costa Rica,4,,1,,Jozef Venglos,Ivan Hašek,Bora Milutinovic,Róger Flores,47673,Stadio San Nicola- Bari,Round of 16,33047,Siegfried Kirschen,Italy,1990
Belgium,Spain,1,,2,,Guy Thys,Jan Ceulemans,Luis Suarez,Emilio Butragueño,35950,Marc Antonio Bentegodi- Verona,Group stage,33045,Juan Loustau,Italy,1990
Korea Republic,Uruguay,0,,1,,Hoe Taik Lee,Choi Soon-ho,Oscar Tabarez,Enzo Francescoli,29039,Friuli- Udine,Group stage,33045,Tullio Lanese,Italy,1990
Republic of Ireland,Netherlands,1,,1,,Jack Charlton,Mick McCarthy,Leo Beenhakker,Ruud Gullit,33288,Della Favorita- Palermo,Group stage,33045,Michel Vautrot,Italy,1990
England,Egypt,1,,0,,Bobby Robson,Peter Shilton,Mahmoud El Gohary,Gamal Abdel-Hameed,34959,Sant Elia- Cagliari,Group stage,33045,Kurt Roethlisberger,Italy,1990
Sweden,Costa Rica,1,,2,,Olle Nordin,Glenn Hysén,Bora Milutinovic,Róger Flores,30223,Luigi Ferraris- Genoa,Group stage,33044,Zoran Petrovic,Italy,1990
Brazil,Scotland,1,,0,,Sebastiao Lazaroni,Ricardo Gomes,Andy Roxburgh,Roy Aitken,62502,Stadio delle Alpi- Turin,Group stage,33044,Helmut Kohl,Italy,1990
Germany,Colombia,1,,1,,Franz Beckenbauer,Lothar Matthäus,Francisco Maturana,Carlos Valderrama,72510,Giuseppe Meazza- Milan,Group stage,33043,Alan Snoddy,Italy,1990
Yugoslavia,United Arab Emirates,4,,1,,Ivica Osim,Zlatko Vujović,Carlos Alberto Parreira,Abdulrahman Mohamed,27833,Renato Dall Ara- Bologna,Group stage,33043,Shizuo Takada,Italy,1990
Austria,United States,2,,1,,Josef Hickersberger,Toni Polster,Bob Gansler,Mike Windischmann,34857,Comunale- Florence,Group stage,33043,Jamal Al Sharif,Italy,1990
Italy,Czechoslovakia,2,,0,,Azeglio Vicini,Giuseppe Bergomi,Jozef Venglos,Ivan Hašek,73303,Stadio Olimpico- Rome,Group stage,33043,Joel Quiniou,Italy,1990
Argentina,Romania,1,,1,,Carlos Bilardo,Diego Maradona,Emerich Jenei,Silviu Lung,52733,San Paolo- Naples,Group stage,33042,Carlos Alberto Silva Valente,Italy,1990
Cameroon,Soviet Union,0,,4,,Valeri Nepomnyashchi,Stephen Tataw,Valeriy Lobanovskyi,Anatoliy Demyanenko,37307,Stadio San Nicola- Bari,Group stage,33042,Jose Ramiz Wright,Italy,1990
Republic of Ireland,Egypt,0,,0,,Jack Charlton,Mick McCarthy,Mahmoud El Gohary,Rabie Yassin,33288,Della Favorita- Palermo,Group stage,33041,Marcel Van Langenhove,Italy,1990
Belgium,Uruguay,3,,1,,Guy Thys,Jan Ceulemans,Oscar Tabarez,Enzo Francescoli,33759,Marc Antonio Bentegodi- Verona,Group stage,33041,Siegfried Kirschen,Italy,1990
Korea Republic,Spain,1,,3,,Hoe Taik Lee,Choi Soon-ho,Luis Suarez,Emilio Butragueño,32733,Dacia Arena- Udine,Group stage,33041,Elias V. Jacome Guerrero,Italy,1990
Brazil,Costa Rica,1,,0,,Sebastiao Lazaroni,Ricardo Gomes,Bora Milutinovic,Róger Flores,58007,Stadio delle Alpi- Turin,Group stage,33040,Neji Jouini,Italy,1990
England,Netherlands,0,,0,,Bobby Robson,Bryan Robson,Leo Beenhakker,Ruud Gullit,35267,Sant Elia- Cagliari,Group stage,33040,Zoran Petrovic,Italy,1990
Sweden,Scotland,1,,2,,Olle Nordin,Glenn Hysén,Andy Roxburgh,Roy Aitken,31823,Luigi Ferraris- Genoa,Group stage,33040,Carlos Maciel,Italy,1990
Austria,Czechoslovakia,0,,1,,Josef Hickersberger,Toni Polster,Jozef Venglos,Ivan Hašek,38962,Comunale- Florence,Group stage,33039,George Smith,Italy,1990
Germany,United Arab Emirates,5,,1,,Franz Beckenbauer,Lothar Matthäus,Carlos Alberto Parreira,Abdulrahman Mohamed,71169,Giuseppe Meazza- Milan,Group stage,33039,Alexey Spirin,Italy,1990
Yugoslavia,Colombia,1,,0,,Ivica Osim,Zlatko Vujović,Francisco Maturana,Carlos Valderrama,32257,Renato Dall Ara- Bologna,Group stage,33038,Luigi Agnolin,Italy,1990
Cameroon,Romania,2,,1,,Valeri Nepomnyashchi,Stephen Tataw,Emerich Jenei,Silviu Lung,38687,Stadio San Nicola- Bari,Group stage,33038,Hernan Silva Arce,Italy,1990
Italy,United States,1,,0,,Azeglio Vicini,Giuseppe Bergomi,Bob Gansler,Mike Windischmann,73423,Stadio Olimpico- Rome,Group stage,33038,Edgardo Codesal Mendez,Italy,1990
Uruguay,Spain,0,,0,,Oscar Tabarez,Enzo Francescoli,Luis Suarez,Emilio Butragueño,35713,Dacia Arena- Udine,Group stage,33037,Helmut Kohl,Italy,1990
Argentina,Soviet Union,2,,0,,Carlos Bilardo,Diego Maradona,Valeriy Lobanovskyi,Oleh Kuznetsov,55759,San Paolo- Naples,Group stage,33037,Erik Fredriksson,Italy,1990
Belgium,Korea Republic,2,,0,,Guy Thys,Eric Gerets,Hoe Taik Lee,Chung Yong-hwan,32790,Marc Antonio Bentegodi- Verona,Group stage,33036,Vincent Mauro,Italy,1990
Netherlands,Egypt,1,,1,,Leo Beenhakker,Ruud Gullit,Mahmoud El Gohary,Gamal Abdel-Hameed,33288,Della Favorita- Palermo,Group stage,33036,Emilio Soriano Aladren,Italy,1990
Costa Rica,Scotland,1,,0,,Bora Milutinovic,Róger Flores,Andy Roxburgh,Roy Aitken,30867,Luigi Ferraris- Genoa,Group stage,33035,Juan Loustau,Italy,1990
England,Republic of Ireland,1,,1,,Bobby Robson,Bryan Robson,Jack Charlton,Mick McCarthy,35238,Sant Elia- Cagliari,Group stage,33035,Aron Schmidhuber,Italy,1990
United States,Czechoslovakia,1,,5,,Bob Gansler,Mike Windischmann,Jozef Venglos,Ivan Hašek,33266,Comunale- Florence,Group stage,33034,Kurt Roethlisberger,Italy,1990
Germany,Yugoslavia,4,,1,,Franz Beckenbauer,Lothar Matthäus,Ivica Osim,Zlatko Vujović,74765,Giuseppe Meazza- Milan,Group stage,33034,Peter Mikkelsen,Italy,1990
Brazil,Sweden,2,,1,,Sebastiao Lazaroni,Ricardo Gomes,Olle Nordin,Jonas Thern,62628,Stadio delle Alpi- Turin,Group stage,33034,Tullio Lanese,Italy,1990
United Arab Emirates,Colombia,0,,2,,Carlos Alberto Parreira,Fahad Khamees,Francisco Maturana,Carlos Valderrama,30791,Renato Dall Ara- Bologna,Group stage,33033,George Courtney,Italy,1990
Soviet Union,Romania,0,,2,,Valeriy Lobanovskyi,Rinat Dasayev,Emerich Jenei,Silviu Lung,42907,Stadio San Nicola- Bari,Group stage,33033,Juan Cardellino De San Vicente,Italy,1990
Italy,Austria,1,,0,,Azeglio Vicini,Giuseppe Bergomi,Josef Hickersberger,Toni Polster,73303,Stadio Olimpico- Rome,Group stage,33033,Jose Ramiz Wright,Italy,1990
Argentina,Cameroon,0,,1,,Carlos Bilardo,Diego Maradona,Valeri Nepomnyashchi,Stephen Tataw,73780,Giuseppe Meazza- Milan,Group stage,33032,Michel Vautrot,Italy,1990
Argentina,Germany,3,,2,,Carlos Bilardo,Diego Maradona,Franz Beckenbauer,Karl-Heinz Rummenigge,114600,Estadio Azteca- Mexico City,Final,31592,Romualdo Arppi Filho,Mexico,1986
France,Belgium,4,,2,,Henri Michel,Patrick Battiston,Guy Thys,Jan Ceulemans,21000,Cuauhtemoc- Puebla,Third-place match,31591,George Courtney,Mexico,1986
France,Germany,0,,2,,Henri Michel,Michel Platini,Franz Beckenbauer,Karl-Heinz Rummenigge,45000,Jalisco- Guadalajara,Semi-finals,31588,Luigi Agnolin,Mexico,1986
Argentina,Belgium,2,,0,,Carlos Bilardo,Diego Maradona,Guy Thys,Jan Ceulemans,114500,Estadio Azteca- Mexico City,Semi-finals,31588,Antonio Marquez Ramirez,Mexico,1986
Argentina,England,2,,1,,Carlos Bilardo,Diego Maradona,Bobby Robson,Peter Shilton,114580,Estadio Azteca- Mexico City,Quarter-finals,31585,Ali Bennaceur,Mexico,1986
Spain,Belgium,1,4,1,5,Miguel Munoz,José Antonio Camacho,Guy Thys,Jan Ceulemans,45000,Cuauhtemoc- Puebla,Quarter-finals,31585,Siegfried Kirschen,Mexico,1986
Brazil,France,1,3,1,4,Tele Santana,Edinho,Henri Michel,Michel Platini,65000,Jalisco- Guadalajara,Quarter-finals,31584,Ioan Igna,Mexico,1986
Germany,Mexico,0,4,0,1,Franz Beckenbauer,Karl-Heinz Rummenigge,Bora Milutinovic,Tomás Boy,41700,Estadio Universitario- Monterrey,Quarter-finals,31584,Jesus Diaz Palacio,Mexico,1986
England,Paraguay,3,,0,,Bobby Robson,Peter Shilton,Cayetano Re,Rogelio Delgado,98728,Estadio Azteca- Mexico City,Round of 16,31581,Jamal Al Sharif,Mexico,1986
Denmark,Spain,1,,5,,Sepp Piontek,Morten Olsen,Miguel Munoz,José Antonio Camacho,38500,Estadio Corregidora- Queretaro,Round of 16,31581,Jan Keizer,Mexico,1986
Italy,France,0,,2,,Enzo Bearzot,Gaetano Scirea,Henri Michel,Michel Platini,70000,Estadio Olï¿½mpico Universitario- Mexico City,Round of 16,31580,Carlos Esposito,Mexico,1986
Morocco,Germany,0,,1,,Jose Faria,Ezzaki Badou,Franz Beckenbauer,Karl-Heinz Rummenigge,19800,Estadio Universitario- Monterrey,Round of 16,31580,Zoran Petrovic,Mexico,1986
Brazil,Poland,4,,0,,Tele Santana,Edinho,Antoni Piechniczek,Zbigniew Boniek,45000,Jalisco- Guadalajara,Round of 16,31579,Volker Roth,Mexico,1986
Argentina,Uruguay,1,,0,,Carlos Bilardo,Diego Maradona,Omar Borras,Jorge Barrios,26000,Cuauhtemoc- Puebla,Round of 16,31579,Luigi Agnolin,Mexico,1986
Mexico,Bulgaria,2,,0,,Bora Milutinovic,Tomás Boy,Ivan Vutsov,Georgi Dimitrov,114580,Estadio Azteca- Mexico City,Round of 16,31578,Romualdo Arppi Filho,Mexico,1986
Soviet Union,Belgium,3,,4,,Valeriy Lobanovskyi,Anatoliy Demyanenko,Guy Thys,Jan Ceulemans,32277,Nou Camp - Estadio Leï¿½n- Leon,Round of 16,31578,Erik Fredriksson,Mexico,1986
Scotland,Uruguay,0,,0,,Alex Ferguson,Willie Miller,Omar Borras,Jorge Barrios,20000,Neza- Nezahualcoyotl,Group stage,31576,Joel Quiniou,Mexico,1986
Denmark,Germany,2,,0,,Sepp Piontek,Morten Olsen,Franz Beckenbauer,Harald Schumacher,36000,Estadio Corregidora- Queretaro,Group stage,31576,Alexis Ponnet,Mexico,1986
Algeria,Spain,0,,3,,Rabah Saadane,Mahmoud Guendouz,Miguel Munoz,José Antonio Camacho,23980,Tecnologico- Monterrey,Group stage,31575,Shizuo Takada,Mexico,1986
Northern Ireland,Brazil,0,,3,,Billy Bingham,Sammy McIlroy,Tele Santana,Edinho,51000,Jalisco- Guadalajara,Group stage,31575,Siegfried Kirschen,Mexico,1986
Paraguay,Belgium,2,,2,,Cayetano Re,Rogelio Delgado,Guy Thys,Jan Ceulemans,16000,Bombonera - Estadio Nemesio Diez- Toluca,Group stage,31574,Bogdan Dotchev,Mexico,1986
Iraq,Mexico,0,,1,,Evaristo,Khalil Allawi,Bora Milutinovic,Tomás Boy,103763,Estadio Azteca- Mexico City,Group stage,31574,Zoran Petrovic,Mexico,1986
England,Poland,3,,0,,Bobby Robson,Peter Shilton,Antoni Piechniczek,Zbigniew Boniek,22700,Tecnologico- Monterrey,Group stage,31574,Andre Daina,Mexico,1986
Portugal,Morocco,1,,3,,Jose Torres,Fernando Gomes,Jose Faria,Ezzaki Badou,28000,Tres de Marzo- Guadalajara,Group stage,31574,Alan Snoddy,Mexico,1986
Argentina,Bulgaria,2,,0,,Carlos Bilardo,Diego Maradona,Ivan Vutsov,Georgi Dimitrov,65000,Estadio Olï¿½mpico Universitario- Mexico City,Group stage,31573,Berny Ulloa Morera,Mexico,1986
Korea Republic,Italy,2,,3,,Jung Nam Kim,Park Chang-sun,Enzo Bearzot,Gaetano Scirea,20000,Cuauhtemoc- Puebla,Group stage,31573,David Socha,Mexico,1986
Soviet Union,Canada,2,,0,,Valeriy Lobanovskyi,Oleh Blokhin,Tony Waiters,Bruce Wilson,14200,Estadio Irapuato- Irapuato,Group stage,31572,Idrissa Traore,Mexico,1986
Hungary,France,0,,3,,Gyorgy Mezey,Imre Garaba,Henri Michel,Michel Platini,31420,Nou Camp - Estadio Leï¿½n- Leon,Group stage,31572,Carlos Alberto Silva Valente,Mexico,1986
Germany,Scotland,2,,1,,Franz Beckenbauer,Harald Schumacher,Alex Ferguson,Graeme Souness,30000,Estadio Corregidora- Queretaro,Group stage,31571,Ioan Igna,Mexico,1986
Iraq,Belgium,1,,2,,Evaristo,Raad Hammoudi,Guy Thys,Jan Ceulemans,20000,Bombonera - Estadio Nemesio Diez- Toluca,Group stage,31571,Jesus Diaz Palacio,Mexico,1986
Denmark,Uruguay,6,,1,,Sepp Piontek,Morten Olsen,Omar Borras,Eduardo Acevedo,26500,Neza- Nezahualcoyotl,Group stage,31571,Antonio Marquez Ramirez,Mexico,1986
Mexico,Paraguay,1,,1,,Bora Milutinovic,Tomás Boy,Cayetano Re,Rogelio Delgado,114600,Estadio Azteca- Mexico City,Group stage,31570,George Courtney,Mexico,1986
Northern Ireland,Spain,1,,2,,Billy Bingham,Sammy McIlroy,Miguel Munoz,José Antonio Camacho,28000,Tres de Marzo- Guadalajara,Group stage,31570,Horst Brummeier,Mexico,1986
Poland,Portugal,1,,0,,Antoni Piechniczek,Zbigniew Boniek,Jose Torres,Fernando Gomes,19915,Estadio Universitario- Monterrey,Group stage,31570,Ali Bennaceur,Mexico,1986
Brazil,Algeria,1,,0,,Tele Santana,Edinho,Rabah Saadane,Mahmoud Guendouz,48000,Jalisco- Guadalajara,Group stage,31569,Romulo Mendez Molina,Mexico,1986
Hungary,Canada,2,,0,,Gyorgy Mezey,Antal Nagy,Tony Waiters,Bruce Wilson,13800,Estadio Irapuato- Irapuato,Group stage,31569,Jamal Al Sharif,Mexico,1986
England,Morocco,0,,0,,Bobby Robson,Bryan Robson,Jose Faria,Ezzaki Badou,20200,Tecnologico- Monterrey,Group stage,31569,Gabriel Gonzalez Roa,Mexico,1986
Italy,Argentina,1,,1,,Enzo Bearzot,Gaetano Scirea,Carlos Bilardo,Diego Maradona,32000,Cuauhtemoc- Puebla,Group stage,31568,Jan Keizer,Mexico,1986
France,Soviet Union,1,,1,,Henri Michel,Michel Platini,Valeriy Lobanovskyi,Anatoliy Demyanenko,36540,Nou Camp - Estadio Leï¿½n- Leon,Group stage,31568,Romualdo Arppi Filho,Mexico,1986
Korea Republic,Bulgaria,1,,1,,Jung Nam Kim,Park Chang-sun,Ivan Vutsov,Georgi Dimitrov,45000,Estadio Olï¿½mpico Universitario- Mexico City,Group stage,31568,Fallaj Khuzam Al Shanar,Mexico,1986
Paraguay,Iraq,1,,0,,Cayetano Re,Rogelio Delgado,Evaristo,Raad Hammoudi,24000,Bombonera - Estadio Nemesio Diez- Toluca,Group stage,31567,Edwin Picon-Ackong,Mexico,1986
Uruguay,Germany,1,,1,,Omar Borras,Jorge Barrios,Franz Beckenbauer,Harald Schumacher,30500,Estadio Corregidora- Queretaro,Group stage,31567,Vojtech Christov,Mexico,1986
Scotland,Denmark,0,,1,,Alex Ferguson,Graeme Souness,Sepp Piontek,Morten Olsen,18000,Neza- Nezahualcoyotl,Group stage,31567,Lajos Nemeth,Mexico,1986
Belgium,Mexico,1,,2,,Guy Thys,Jan Ceulemans,Bora Milutinovic,Tomás Boy,110000,Estadio Azteca- Mexico City,Group stage,31566,Carlos Esposito,Mexico,1986
Algeria,Northern Ireland,1,,1,,Rabah Saadane,Mahmoud Guendouz,Billy Bingham,Sammy McIlroy,22000,Tres de Marzo- Guadalajara,Group stage,31566,Valeri Butenko,Mexico,1986
Portugal,England,1,,0,,Jose Torres,Manuel Bento,Bobby Robson,Bryan Robson,23000,Tecnologico- Monterrey,Group stage,31566,Volker Roth,Mexico,1986
Soviet Union,Hungary,6,,0,,Valeriy Lobanovskyi,Anatoliy Demyanenko,Gyorgy Mezey,Antal Nagy,16500,Estadio Irapuato- Irapuato,Group stage,31565,Luigi Agnolin,Mexico,1986
Argentina,Korea Republic,3,,1,,Carlos Bilardo,Diego Maradona,Jung Nam Kim,Park Chang-sun,60000,Estadio Olï¿½mpico Universitario- Mexico City,Group stage,31565,Victoriano Sanchez Arminio,Mexico,1986
Morocco,Poland,0,,0,,Jose Faria,Ezzaki Badou,Antoni Piechniczek,Zbigniew Boniek,19900,Estadio Universitario- Monterrey,Group stage,31565,Jose Luis Martinez Bazan,Mexico,1986
Spain,Brazil,0,,1,,Miguel Munoz,José Antonio Camacho,Tele Santana,Edinho,35748,Jalisco- Guadalajara,Group stage,31564,Christopher Bambridge,Mexico,1986
Canada,France,0,,1,,Tony Waiters,Bruce Wilson,Henri Michel,Michel Platini,65500,Nou Camp - Estadio Leï¿½n- Leon,Group stage,31564,Hernan Silva Arce,Mexico,1986
Bulgaria,Italy,1,,1,,Ivan Vutsov,Georgi Dimitrov,Enzo Bearzot,Gaetano Scirea,96000,Estadio Azteca- Mexico City,Group stage,31563,Erik Fredriksson,Mexico,1986
Italy,Germany,3,,1,,Enzo Bearzot,Dino Zoff,Jupp Derwall,Karl-Heinz Rummenigge,90000,Santiago Bernabeu- Madrid,Final,30143,Arnaldo Coelho,Spain,1982
Poland,France,3,,2,,Antoni Piechniczek,Władysław Żmuda,Michel Hidalgo,Marius Trésor,28000,Jose Rico Perez- Alicante,Third-place match,30142,Antonio Garrido,Spain,1982
Poland,Italy,0,,2,,Antoni Piechniczek,Władysław Żmuda,Enzo Bearzot,Dino Zoff,50000,Camp Nou- Barcelona,Semi-finals,30140,Juan Cardellino De San Vicente,Spain,1982
Germany,France,3,5,3,4,Jupp Derwall,Manfred Kaltz,Michel Hidalgo,Michel Platini,70000,Ramon Sanchez Pizjuan- Seville,Semi-finals,30140,Charles Corver,Spain,1982
Italy,Brazil,3,,2,,Enzo Bearzot,Dino Zoff,Tele Santana,Sócrates,44000,Sarria- Barcelona,Second group stage,30137,Abraham Klein,Spain,1982
Spain,England,0,,0,,Jose Santamaria,Luis Arconada,Ron Greenwood,Mick Mills,75000,Santiago Bernabeu- Madrid,Second group stage,30137,Alexis Ponnet,Spain,1982
France,Northern Ireland,4,,1,,Michel Hidalgo,Michel Platini,Billy Bingham,Martin O'Neill,37000,Vicente Calderon- Madrid,Second group stage,30136,Alojzy Jarguz,Spain,1982
Poland,Soviet Union,0,,0,,Antoni Piechniczek,Władysław Żmuda,Konstantin Beskov,Aleksandre Chivadze,65000,Camp Nou- Barcelona,Second group stage,30136,Robert Valentine,Spain,1982
Argentina,Brazil,1,,3,,Cesar Luis Menotti,Daniel Passarella,Tele Santana,Sócrates,44000,Sarria- Barcelona,Second group stage,30134,Mario Rubio Vazquez,Spain,1982
Germany,Spain,2,,1,,Jupp Derwall,Karl-Heinz Rummenigge,Jose Santamaria,Luis Arconada,90089,Santiago Bernabeu- Madrid,Second group stage,30134,Paolo Casarin,Spain,1982
Austria,Northern Ireland,2,,2,,Georg Schmidt,Erich Obermayer,Billy Bingham,Martin O'Neill,20000,Vicente Calderon- Madrid,Second group stage,30133,Adolf Prokop,Spain,1982
Belgium,Soviet Union,0,,1,,Guy Thys,Walter Meeuws,Konstantin Beskov,Aleksandre Chivadze,45000,Camp Nou- Barcelona,Second group stage,30133,Michel Vautrot,Spain,1982
Italy,Argentina,2,,1,,Enzo Bearzot,Dino Zoff,Cesar Luis Menotti,Daniel Passarella,43000,Sarria- Barcelona,Second group stage,30131,Nicolae Rainea,Spain,1982
Germany,England,0,,0,,Jupp Derwall,Karl-Heinz Rummenigge,Ron Greenwood,Mick Mills,75000,Santiago Bernabeu- Madrid,Second group stage,30131,Arnaldo Coelho,Spain,1982
Austria,France,0,,1,,Georg Schmidt,Erich Obermayer,Michel Hidalgo,Marius Trésor,37000,Vicente Calderon- Madrid,Second group stage,30130,Karoly Palotai,Spain,1982
Poland,Belgium,3,,0,,Antoni Piechniczek,Władysław Żmuda,Guy Thys,Walter Meeuws,65000,Camp Nou- Barcelona,Second group stage,30130,Jesus Paulino Siles,Spain,1982
England,Kuwait,1,,0,,Ron Greenwood,Mick Mills,Carlos Alberto Parreira,Saad Al-Houti,39700,San Mames- Bilbao,First group stage,30127,Gilberto Aristizabal Murcia,Spain,1982
Germany,Austria,1,,0,,Jupp Derwall,Karl-Heinz Rummenigge,Georg Schmidt,Erich Obermayer,41000,El Molinon- Gijon,First group stage,30127,Robert Valentine,Spain,1982
Northern Ireland,Spain,1,,0,,Billy Bingham,Martin O'Neill,Jose Santamaria,Luis Arconada,49562,Luis Casanova- Valencia,First group stage,30127,Hector Ortiz,Spain,1982
France,Czechoslovakia,1,,1,,Michel Hidalgo,Michel Platini,Jozef Venglos,Zdeněk Nehoda,28000,Jose Zorrilla- Valladolid,First group stage,30126,Paolo Casarin,Spain,1982
Algeria,Chile,3,,2,,Rachid Mekhloufi,Ali Fergani,Luis Alberto Santibanez,Elías Figueroa,16000,Carlos Tartiere- Oviedo,First group stage,30126,Romulo Mendez Molina,Spain,1982
Honduras,Yugoslavia,0,,1,,Jose De La Paz,Ramón Maradiaga,Miljan Miljanic,Ivica Šurjak,25000,La Romareda- Zaragoza,First group stage,30126,Gaston Castro,Spain,1982
Italy,Cameroon,1,,1,,Enzo Bearzot,Dino Zoff,Jean Vincent,Thomas N'Kono,20000,Estadio Municipal de Balaï¿½dos- Vigo,First group stage,30125,Bogdan Dotchev,Spain,1982
Argentina,El Salvador,2,,0,,Cesar Luis Menotti,Daniel Passarella,Mauricio Rodriguez,Norberto Huezo,32500,Jose Rico Perez- Alicante,First group stage,30125,Luis Barrancos,Spain,1982
Brazil,New Zealand,4,,0,,Tele Santana,Sócrates,John Adshead,Steve Sumner,43000,Benito Villamarin- Seville,First group stage,30125,Damir Matovinovic,Spain,1982
Poland,Peru,5,,1,,Antoni Piechniczek,Władysław Żmuda,Tim,Rubén Toribio Díaz,25000,Riazor- La Coruï¿½A,First group stage,30124,Mario Rubio Vazquez,Spain,1982
